"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",3,"Good","J","SI2",59.3,64,14918,9.32,9.19,5.5
"2",2.8,"Premium","I","SI2",61.1,59,15030,9.03,8.98,5.5
"3",4.01,"Premium","I","I1",61,61,15223,10.14,10.1,6.17
"4",4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24
"5",3.04,"Very Good","I","SI2",63.2,59,15354,9.14,9.07,5.75
"6",2.75,"Premium","H","SI2",60.5,61,15415,8.99,8.97,5.48
"7",3.4,"Fair","D","I1",66.8,52,15964,9.42,9.34,6.27
"8",4,"Very Good","I","I1",63.3,58,15984,10.01,9.94,6.31
"9",3.01,"Ideal","J","SI2",61.7,58,16037,9.25,9.2,5.69
"10",3.67,"Premium","I","I1",62.4,56,16193,9.86,9.81,6.13
"11",2.66,"Good","H","SI2",63.8,57,16239,8.71,8.65,5.54
"12",2.66,"Good","H","SI2",63.8,57,16239,8.71,8.65,5.54
"13",2.65,"Premium","G","SI2",62,61,16314,8.82,8.75,5.45
"14",3.01,"Ideal","J","I1",65.4,60,16538,8.99,8.93,5.86
"15",2.63,"Ideal","J","SI2",62.1,57,16914,8.83,8.88,5.5
"16",3,"Premium","I","SI2",60.7,59,16970,9.3,9.14,5.6
"17",3,"Fair","I","SI2",64.8,59,16970,8.93,8.73,5.72
"18",2.71,"Premium","E","SI2",60.4,59,17146,9.13,9.03,5.48
"19",2.74,"Very Good","J","SI2",61.5,62,17164,8.87,8.9,5.46
"20",2.74,"Very Good","H","SI2",63.3,58,17184,8.88,8.84,5.61
"21",2.61,"Ideal","J","SI2",64.6,55,17209,8.61,8.57,5.55
"22",4.13,"Fair","H","I1",64.8,61,17329,10,9.85,6.43
"23",2.64,"Ideal","H","SI2",62.3,55,17407,8.88,8.83,5.52
"24",2.72,"Ideal","J","SI2",62.1,56,17801,8.97,8.93,5.56
"25",5.01,"Fair","J","I1",65.5,59,18018,10.74,10.54,6.98
"26",3.01,"Premium","I","SI2",60.2,59,18242,9.36,9.31,5.62
"27",3.01,"Fair","I","SI2",65.8,56,18242,8.99,8.94,5.9
"28",3.01,"Fair","I","SI2",65.8,56,18242,8.99,8.94,5.9
"29",3.01,"Good","I","SI2",63.9,60,18242,9.06,9.01,5.77
"30",3.01,"Good","I","SI2",63.9,60,18242,9.06,9.01,5.77
"31",2.66,"Good","H","SI2",64.3,60,18495,8.71,8.65,5.58
"32",4.5,"Fair","J","I1",65.8,58,18531,10.23,10.16,6.72
"33",3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
"34",3.01,"Good","H","SI2",57.6,64,18593,9.44,9.38,5.42
"35",2.67,"Good","F","SI2",63.8,58,18686,8.69,8.64,5.54
"36",3.51,"Premium","J","VS2",62.5,59,18701,9.66,9.63,6.03
"37",3.01,"Premium","J","SI2",60.7,59,18710,9.35,9.22,5.64
"38",3.01,"Premium","J","SI2",59.7,58,18710,9.41,9.32,5.59
"39",2.61,"Ideal","I","SI2",62.1,56,18756,8.85,8.73,5.46
"40",2.8,"Good","G","SI2",63.8,58,18788,8.9,8.85,0
